publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.0002932548522949219
10.0.0.1:5556,C,0.0007178783416748047
10.0.0.11:5556,B,0.0006053447723388672
10.0.0.16:5556,B,0.0006184577941894531
10.0.0.21:5556,B,0.00039458274841308594
10.0.0.11:5556,C,0.0005867481231689453
10.0.0.16:5556,C,0.0004451274871826172
10.0.0.1:5556,B,0.0006644725799560547
10.0.0.21:5556,C,0.0005269050598144531
10.0.0.1:5556,C,0.0011172294616699219
10.0.0.11:5556,B,0.0004267692565917969
10.0.0.16:5556,B,0.0004210472106933594
10.0.0.21:5556,B,0.0006747245788574219
10.0.0.11:5556,C,0.00036978721618652344
10.0.0.16:5556,C,0.0005860328674316406
10.0.0.1:5556,B,0.0005807876586914062
10.0.0.21:5556,C,0.0005590915679931641
10.0.0.1:5556,C,0.0010578632354736328
10.0.0.11:5556,B,0.0004558563232421875
10.0.0.16:5556,B,0.0006511211395263672
10.0.0.21:5556,B,0.00054168701171875
10.0.0.11:5556,C,0.0012140274047851562
10.0.0.16:5556,C,0.0009372234344482422
10.0.0.1:5556,B,0.0010523796081542969
10.0.0.21:5556,C,0.0008075237274169922
10.0.0.1:5556,C,0.0007507801055908203
10.0.0.11:5556,B,0.0011646747589111328
10.0.0.16:5556,B,0.0007054805755615234
10.0.0.21:5556,B,0.0008900165557861328
10.0.0.11:5556,C,0.0010912418365478516
10.0.0.16:5556,C,0.0007162094116210938
10.0.0.1:5556,B,0.0013017654418945312
10.0.0.21:5556,C,0.0012688636779785156
10.0.0.1:5556,C,0.0007135868072509766
10.0.0.11:5556,B,0.0011699199676513672
10.0.0.16:5556,B,0.0005784034729003906
10.0.0.21:5556,B,0.0016222000122070312
10.0.0.11:5556,C,0.0009431838989257812
10.0.0.16:5556,C,0.0011980533599853516
10.0.0.1:5556,B,0.0008423328399658203
10.0.0.21:5556,C,0.0009186267852783203
10.0.0.1:5556,C,0.0009279251098632812
10.0.0.11:5556,B,0.0012454986572265625
10.0.0.16:5556,B,0.0005333423614501953
10.0.0.21:5556,B,0.0006253719329833984
10.0.0.11:5556,C,0.001004934310913086
10.0.0.16:5556,C,0.0005252361297607422
10.0.0.1:5556,B,0.0004665851593017578
