publisher,topic,total_time_seconds
10.0.0.11:5556,B,0.0009539127349853516
10.0.0.16:5556,B,0.0009593963623046875
10.0.0.21:5556,B,0.0009047985076904297
10.0.0.11:5556,C,0.0009095668792724609
10.0.0.16:5556,C,0.0006914138793945312
10.0.0.1:5556,B,0.0004200935363769531
10.0.0.21:5556,C,0.001209259033203125
10.0.0.1:5556,C,0.0006320476531982422
10.0.0.11:5556,B,0.0006823539733886719
10.0.0.16:5556,B,0.0006589889526367188
10.0.0.21:5556,B,0.001094818115234375
10.0.0.11:5556,C,0.0005791187286376953
10.0.0.16:5556,C,0.0009753704071044922
10.0.0.1:5556,B,0.0007071495056152344
10.0.0.21:5556,C,0.0006644725799560547
10.0.0.1:5556,C,0.0011718273162841797
10.0.0.11:5556,B,0.0006265640258789062
10.0.0.16:5556,B,0.0007917881011962891
10.0.0.21:5556,B,0.0006587505340576172
10.0.0.11:5556,C,0.0011022090911865234
10.0.0.16:5556,C,0.0010464191436767578
10.0.0.1:5556,B,0.0009436607360839844
10.0.0.21:5556,C,0.0010221004486083984
10.0.0.1:5556,C,0.0009593963623046875
10.0.0.11:5556,B,0.0010938644409179688
10.0.0.16:5556,B,0.0008928775787353516
10.0.0.21:5556,B,0.0011413097381591797
10.0.0.11:5556,C,0.0008523464202880859
10.0.0.16:5556,C,0.0005042552947998047
10.0.0.1:5556,B,0.0010530948638916016
10.0.0.21:5556,C,0.0010328292846679688
10.0.0.1:5556,C,0.0005846023559570312
10.0.0.11:5556,B,0.0009465217590332031
10.0.0.16:5556,B,0.0005271434783935547
10.0.0.21:5556,B,0.001210927963256836
10.0.0.11:5556,C,0.0012464523315429688
10.0.0.16:5556,C,0.0009543895721435547
10.0.0.1:5556,B,0.0011811256408691406
10.0.0.21:5556,C,0.001138448715209961
10.0.0.1:5556,C,0.0007803440093994141
10.0.0.11:5556,B,0.0009870529174804688
10.0.0.16:5556,B,0.0004150867462158203
10.0.0.21:5556,B,0.001196146011352539
10.0.0.11:5556,C,0.0005502700805664062
10.0.0.16:5556,C,0.00041556358337402344
10.0.0.1:5556,B,0.00025534629821777344
10.0.0.21:5556,C,0.0009009838104248047
10.0.0.1:5556,C,0.0003731250762939453
10.0.0.11:5556,B,0.00042939186096191406
