publisher,topic,total_time_seconds
10.0.0.1:5556,C,0.0003707408905029297
10.0.0.11:5556,B,0.0007801055908203125
10.0.0.16:5556,B,0.0007898807525634766
10.0.0.21:5556,B,0.0007395744323730469
10.0.0.11:5556,C,0.0007493495941162109
10.0.0.16:5556,C,0.0005705356597900391
10.0.0.1:5556,B,0.0002980232238769531
10.0.0.21:5556,C,0.0010221004486083984
10.0.0.1:5556,C,0.0008904933929443359
10.0.0.11:5556,B,0.0002982616424560547
10.0.0.16:5556,B,0.00029349327087402344
10.0.0.21:5556,B,0.0004544258117675781
10.0.0.11:5556,C,0.0002601146697998047
10.0.0.16:5556,C,0.0003979206085205078
10.0.0.1:5556,B,0.0005095005035400391
10.0.0.21:5556,C,0.0004489421844482422
10.0.0.1:5556,C,0.0009407997131347656
10.0.0.11:5556,B,0.0005674362182617188
10.0.0.16:5556,B,0.0005831718444824219
10.0.0.21:5556,B,0.00048065185546875
10.0.0.11:5556,C,0.0009844303131103516
10.0.0.16:5556,C,0.0011556148529052734
10.0.0.1:5556,B,0.0008296966552734375
10.0.0.21:5556,C,0.0011441707611083984
10.0.0.1:5556,C,0.0008680820465087891
10.0.0.11:5556,B,0.0012314319610595703
10.0.0.16:5556,B,0.0008289813995361328
10.0.0.21:5556,B,0.0010187625885009766
10.0.0.11:5556,C,0.0012087821960449219
10.0.0.16:5556,C,0.0006241798400878906
10.0.0.1:5556,B,0.0011756420135498047
10.0.0.21:5556,C,0.0011491775512695312
10.0.0.1:5556,C,0.0006487369537353516
10.0.0.11:5556,B,0.0008351802825927734
10.0.0.16:5556,B,0.0004742145538330078
10.0.0.21:5556,B,0.0013494491577148438
10.0.0.11:5556,C,0.001371145248413086
10.0.0.16:5556,C,0.0011396408081054688
10.0.0.1:5556,B,0.0009551048278808594
10.0.0.21:5556,C,0.0010273456573486328
10.0.0.1:5556,C,0.0010263919830322266
10.0.0.11:5556,B,0.001371145248413086
10.0.0.16:5556,B,0.0008103847503662109
10.0.0.21:5556,B,0.0009160041809082031
10.0.0.11:5556,C,0.0007803440093994141
10.0.0.16:5556,C,0.00030040740966796875
10.0.0.1:5556,B,0.00036215782165527344
10.0.0.21:5556,C,0.0006079673767089844
10.0.0.1:5556,C,0.0005598068237304688
