publisher,topic,total_time_seconds
10.0.0.16:5556,B,0.00044608116149902344
10.0.0.11:5556,C,0.00033164024353027344
10.0.0.16:5556,C,0.0003867149353027344
10.0.0.21:5556,C,0.0004639625549316406
10.0.0.1:5556,C,0.0005509853363037109
10.0.0.11:5556,B,0.00041985511779785156
10.0.0.16:5556,B,0.0004017353057861328
10.0.0.21:5556,B,0.0005710124969482422
10.0.0.11:5556,C,0.00041985511779785156
10.0.0.16:5556,C,0.0003199577331542969
10.0.0.1:5556,B,0.0005424022674560547
10.0.0.21:5556,C,0.0008285045623779297
10.0.0.1:5556,C,0.001338958740234375
10.0.0.11:5556,B,0.0005519390106201172
10.0.0.16:5556,B,0.0005397796630859375
10.0.0.21:5556,B,0.0008847713470458984
10.0.0.11:5556,C,0.0004737377166748047
10.0.0.16:5556,C,0.0007770061492919922
10.0.0.1:5556,B,0.0006430149078369141
10.0.0.21:5556,C,0.0005083084106445312
10.0.0.1:5556,C,0.000823974609375
10.0.0.11:5556,B,0.0005125999450683594
10.0.0.16:5556,B,0.0007195472717285156
10.0.0.21:5556,B,0.0006008148193359375
10.0.0.11:5556,C,0.0008726119995117188
10.0.0.16:5556,C,0.0008230209350585938
10.0.0.1:5556,B,0.0011744499206542969
10.0.0.21:5556,C,0.0009148120880126953
10.0.0.1:5556,C,0.0010306835174560547
10.0.0.11:5556,B,0.0009210109710693359
10.0.0.16:5556,B,0.0009765625
10.0.0.21:5556,B,0.0012600421905517578
10.0.0.11:5556,C,0.0009148120880126953
10.0.0.16:5556,C,0.00044608116149902344
10.0.0.1:5556,B,0.0009222030639648438
10.0.0.21:5556,C,0.0009005069732666016
10.0.0.1:5556,C,0.0005168914794921875
10.0.0.11:5556,B,0.0010590553283691406
10.0.0.16:5556,B,0.0004239082336425781
10.0.0.21:5556,B,0.0015201568603515625
10.0.0.11:5556,C,0.0010676383972167969
10.0.0.16:5556,C,0.0010819435119628906
10.0.0.1:5556,B,0.0010693073272705078
10.0.0.21:5556,C,0.0008111000061035156
10.0.0.1:5556,C,0.0008523464202880859
10.0.0.11:5556,B,0.001125335693359375
10.0.0.16:5556,B,0.00047850608825683594
