publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.011323928833007812
10.0.0.8:5556,C,0.01197671890258789
10.0.0.1:5556,C,0.003157377243041992
10.0.0.26:5556,B,0.03262209892272949
10.0.0.16:5556,B,0.021189212799072266
10.0.0.11:5556,B,0.012074708938598633
10.0.0.26:5556,C,0.0023241043090820312
10.0.0.16:5556,C,0.0015513896942138672
10.0.0.21:5556,B,0.008918523788452148
10.0.0.11:5556,C,0.010533809661865234
10.0.0.8:5556,B,0.010917425155639648
10.0.0.1:5556,B,0.002384185791015625
10.0.0.21:5556,C,0.001613616943359375
10.0.0.8:5556,C,0.0022585391998291016
10.0.0.1:5556,C,0.0009295940399169922
10.0.0.26:5556,B,0.0009725093841552734
10.0.0.16:5556,B,0.0012392997741699219
10.0.0.11:5556,B,0.0012743473052978516
10.0.0.26:5556,C,0.0009446144104003906
10.0.0.16:5556,C,0.0010633468627929688
10.0.0.11:5556,C,0.0013229846954345703
10.0.0.21:5556,B,0.0017957687377929688
10.0.0.8:5556,B,0.002382516860961914
10.0.0.1:5556,B,0.0008635520935058594
10.0.0.21:5556,C,0.0015993118286132812
10.0.0.8:5556,C,0.0022971630096435547
10.0.0.1:5556,C,0.0009226799011230469
10.0.0.26:5556,B,0.0008127689361572266
10.0.0.16:5556,B,0.0008885860443115234
10.0.0.11:5556,B,0.0014791488647460938
10.0.0.26:5556,C,0.0011670589447021484
10.0.0.16:5556,C,0.001428842544555664
10.0.0.21:5556,B,0.0013659000396728516
10.0.0.11:5556,C,0.002510547637939453
10.0.0.8:5556,B,0.0028302669525146484
10.0.0.1:5556,B,0.0034368038177490234
10.0.0.21:5556,C,0.0014467239379882812
10.0.0.8:5556,C,0.0020825862884521484
10.0.0.1:5556,C,0.0027313232421875
10.0.0.26:5556,B,0.0012600421905517578
10.0.0.16:5556,B,0.0012280941009521484
10.0.0.11:5556,B,0.0014574527740478516
10.0.0.26:5556,C,0.0009224414825439453
10.0.0.16:5556,C,0.0008928775787353516
10.0.0.21:5556,B,0.0011730194091796875
10.0.0.11:5556,C,0.0022728443145751953
10.0.0.8:5556,B,0.002829313278198242
10.0.0.1:5556,B,0.004645347595214844
10.0.0.21:5556,C,0.001272439956665039
10.0.0.8:5556,C,0.0020673274993896484
