publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.010921955108642578
10.0.0.8:5556,C,0.011733770370483398
10.0.0.1:5556,C,0.00292205810546875
10.0.0.26:5556,B,0.03242635726928711
10.0.0.16:5556,B,0.021001100540161133
10.0.0.11:5556,B,0.01195383071899414
10.0.0.26:5556,C,0.0012211799621582031
10.0.0.16:5556,C,0.0011706352233886719
10.0.0.21:5556,B,0.008725404739379883
10.0.0.11:5556,C,0.01027226448059082
10.0.0.8:5556,B,0.010797262191772461
10.0.0.1:5556,B,0.0022668838500976562
10.0.0.21:5556,C,0.0012309551239013672
10.0.0.8:5556,C,0.0020089149475097656
10.0.0.1:5556,C,0.0006902217864990234
10.0.0.26:5556,B,0.0008213520050048828
10.0.0.16:5556,B,0.0010533332824707031
10.0.0.11:5556,B,0.0011456012725830078
10.0.0.26:5556,C,0.0006883144378662109
10.0.0.16:5556,C,0.0007746219635009766
10.0.0.11:5556,C,0.0010690689086914062
10.0.0.21:5556,B,0.0016777515411376953
10.0.0.8:5556,B,0.0022640228271484375
10.0.0.1:5556,B,0.0007455348968505859
10.0.0.21:5556,C,0.0012121200561523438
10.0.0.8:5556,C,0.002033710479736328
10.0.0.1:5556,C,0.0006723403930664062
10.0.0.26:5556,B,0.0006873607635498047
10.0.0.16:5556,B,0.0007624626159667969
10.0.0.11:5556,B,0.001348733901977539
10.0.0.26:5556,C,0.0008363723754882812
10.0.0.16:5556,C,0.0009226799011230469
10.0.0.21:5556,B,0.0011868476867675781
10.0.0.11:5556,C,0.002263307571411133
10.0.0.8:5556,B,0.0027077198028564453
10.0.0.1:5556,B,0.003314971923828125
10.0.0.21:5556,C,0.0011718273162841797
10.0.0.8:5556,C,0.0018415451049804688
10.0.0.1:5556,C,0.002492189407348633
10.0.0.26:5556,B,0.00103759765625
10.0.0.16:5556,B,0.001055002212524414
10.0.0.11:5556,B,0.0013301372528076172
10.0.0.26:5556,C,0.0006756782531738281
10.0.0.16:5556,C,0.0006444454193115234
10.0.0.21:5556,B,0.0010459423065185547
10.0.0.11:5556,C,0.0020074844360351562
10.0.0.8:5556,B,0.0027115345001220703
10.0.0.1:5556,B,0.0044515132904052734
10.0.0.21:5556,C,0.0008785724639892578
10.0.0.8:5556,C,0.0015485286712646484
