publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.010717630386352539
10.0.0.8:5556,C,0.011610746383666992
10.0.0.1:5556,C,0.0028040409088134766
10.0.0.26:5556,B,0.032230377197265625
10.0.0.16:5556,B,0.020815610885620117
10.0.0.11:5556,B,0.011831998825073242
10.0.0.26:5556,C,0.0010159015655517578
10.0.0.16:5556,C,0.0009772777557373047
10.0.0.21:5556,B,0.008527517318725586
10.0.0.11:5556,C,0.010143041610717773
10.0.0.8:5556,B,0.010591506958007812
10.0.0.1:5556,B,0.002147674560546875
10.0.0.21:5556,C,0.0010404586791992188
10.0.0.8:5556,C,0.001882791519165039
10.0.0.1:5556,C,0.0005717277526855469
10.0.0.26:5556,B,0.0006439685821533203
10.0.0.16:5556,B,0.0008699893951416016
10.0.0.11:5556,B,0.0010144710540771484
10.0.0.26:5556,C,0.0005598068237304688
10.0.0.16:5556,C,0.0006365776062011719
10.0.0.11:5556,C,0.0009434223175048828
10.0.0.21:5556,B,0.0015583038330078125
10.0.0.8:5556,B,0.0021445751190185547
10.0.0.1:5556,B,0.0006270408630371094
10.0.0.21:5556,C,0.0010199546813964844
10.0.0.8:5556,C,0.0018706321716308594
10.0.0.1:5556,C,0.0005471706390380859
10.0.0.26:5556,B,0.0005617141723632812
10.0.0.16:5556,B,0.0006330013275146484
10.0.0.11:5556,B,0.0012178421020507812
10.0.0.26:5556,C,0.0006587505340576172
10.0.0.16:5556,C,0.0007507801055908203
10.0.0.21:5556,B,0.0010485649108886719
10.0.0.11:5556,C,0.0021386146545410156
10.0.0.8:5556,B,0.002584218978881836
10.0.0.1:5556,B,0.0031921863555908203
10.0.0.21:5556,C,0.001033782958984375
10.0.0.8:5556,C,0.001718759536743164
10.0.0.1:5556,C,0.0023729801177978516
10.0.0.26:5556,B,0.0008180141448974609
10.0.0.16:5556,B,0.0008766651153564453
10.0.0.11:5556,B,0.001201629638671875
10.0.0.26:5556,C,0.0005519390106201172
10.0.0.16:5556,C,0.0005211830139160156
10.0.0.21:5556,B,0.0009176731109619141
10.0.0.11:5556,C,0.0018889904022216797
10.0.0.8:5556,B,0.002592325210571289
10.0.0.1:5556,B,0.004167795181274414
10.0.0.21:5556,C,0.0006740093231201172
10.0.0.8:5556,C,0.00128173828125
