publisher,topic,total_time_seconds
10.0.0.26:5556,C,0.0005474090576171875
10.0.0.16:5556,C,0.0004985332489013672
10.0.0.11:5556,C,0.0004165172576904297
10.0.0.21:5556,C,0.01031637191772461
10.0.0.8:5556,C,0.011359214782714844
10.0.0.1:5556,C,0.002567291259765625
10.0.0.26:5556,B,0.031828880310058594
10.0.0.16:5556,B,0.020435571670532227
10.0.0.11:5556,B,0.011586189270019531
10.0.0.26:5556,C,0.0006039142608642578
10.0.0.16:5556,C,0.0005862712860107422
10.0.0.21:5556,B,0.008117914199829102
10.0.0.11:5556,C,0.00957036018371582
10.0.0.8:5556,B,0.010329961776733398
10.0.0.1:5556,B,0.0019123554229736328
10.0.0.21:5556,C,0.0006198883056640625
10.0.0.8:5556,C,0.0016312599182128906
10.0.0.1:5556,C,0.00030803680419921875
10.0.0.26:5556,B,0.0003254413604736328
10.0.0.16:5556,B,0.0004904270172119141
10.0.0.11:5556,B,0.0007472038269042969
10.0.0.26:5556,C,0.0002994537353515625
10.0.0.16:5556,C,0.0003559589385986328
10.0.0.11:5556,C,0.0006859302520751953
10.0.0.21:5556,B,0.0013201236724853516
10.0.0.8:5556,B,0.0019145011901855469
10.0.0.1:5556,B,0.0003814697265625
10.0.0.21:5556,C,0.0006279945373535156
10.0.0.8:5556,C,0.0016181468963623047
10.0.0.1:5556,C,0.0002963542938232422
10.0.0.26:5556,B,0.0003094673156738281
10.0.0.16:5556,B,0.00036215782165527344
10.0.0.11:5556,B,0.0009608268737792969
10.0.0.26:5556,C,0.0003261566162109375
10.0.0.16:5556,C,0.0003991127014160156
10.0.0.21:5556,B,0.0007736682891845703
10.0.0.11:5556,C,0.001889944076538086
10.0.0.8:5556,B,0.0023064613342285156
10.0.0.1:5556,B,0.0029478073120117188
10.0.0.21:5556,C,0.0007586479187011719
10.0.0.8:5556,C,0.0014770030975341797
10.0.0.1:5556,C,0.0021064281463623047
10.0.0.26:5556,B,0.00046634674072265625
10.0.0.16:5556,B,0.0004980564117431641
10.0.0.11:5556,B,0.0009369850158691406
10.0.0.26:5556,C,0.0003008842468261719
10.0.0.16:5556,C,0.0002720355987548828
10.0.0.21:5556,B,0.0006606578826904297
10.0.0.11:5556,C,0.0016551017761230469
10.0.0.8:5556,B,0.002099275588989258
