publisher,topic,total_time_seconds
10.0.0.26:5556,C,0.0007216930389404297
10.0.0.16:5556,C,0.0006589889526367188
10.0.0.11:5556,C,0.0005321502685546875
10.0.0.21:5556,C,0.010515689849853516
10.0.0.8:5556,C,0.011483192443847656
10.0.0.1:5556,C,0.0026848316192626953
10.0.0.26:5556,B,0.03203177452087402
10.0.0.16:5556,B,0.02062702178955078
10.0.0.11:5556,B,0.011707544326782227
10.0.0.26:5556,C,0.0008051395416259766
10.0.0.16:5556,C,0.0007834434509277344
10.0.0.21:5556,B,0.008328437805175781
10.0.0.11:5556,C,0.01000070571899414
10.0.0.8:5556,B,0.010450363159179688
10.0.0.1:5556,B,0.0020294189453125
10.0.0.21:5556,C,0.0008459091186523438
10.0.0.8:5556,C,0.0017566680908203125
10.0.0.1:5556,C,0.0004341602325439453
10.0.0.26:5556,B,0.0004639625549316406
10.0.0.16:5556,B,0.0006825923919677734
10.0.0.11:5556,B,0.0008809566497802734
10.0.0.26:5556,C,0.0004315376281738281
10.0.0.16:5556,C,0.0004975795745849609
10.0.0.11:5556,C,0.0008156299591064453
10.0.0.21:5556,B,0.0014390945434570312
10.0.0.8:5556,B,0.0020291805267333984
10.0.0.1:5556,B,0.0005061626434326172
10.0.0.21:5556,C,0.0008270740509033203
10.0.0.8:5556,C,0.0017423629760742188
10.0.0.1:5556,C,0.0004220008850097656
10.0.0.26:5556,B,0.0004363059997558594
10.0.0.16:5556,B,0.0004999637603759766
10.0.0.11:5556,B,0.0010874271392822266
10.0.0.26:5556,C,0.0004885196685791016
10.0.0.16:5556,C,0.0005753040313720703
10.0.0.21:5556,B,0.00090789794921875
10.0.0.11:5556,C,0.0020139217376708984
10.0.0.8:5556,B,0.002429485321044922
10.0.0.1:5556,B,0.003069639205932617
10.0.0.21:5556,C,0.0008959770202636719
10.0.0.8:5556,C,0.0015971660614013672
10.0.0.1:5556,C,0.002223491668701172
10.0.0.26:5556,B,0.0006258487701416016
10.0.0.16:5556,B,0.0006818771362304688
10.0.0.11:5556,B,0.0010683536529541016
10.0.0.26:5556,C,0.00042629241943359375
10.0.0.16:5556,C,0.00039505958557128906
10.0.0.21:5556,B,0.0007891654968261719
10.0.0.11:5556,C,0.0017714500427246094
10.0.0.8:5556,B,0.002345561981201172
