publisher,topic,total_time_seconds
10.0.0.11:5556,B,0.0005691051483154297
10.0.0.16:5556,B,0.00041222572326660156
10.0.0.21:5556,C,0.0005557537078857422
10.0.0.11:5556,C,0.000537872314453125
10.0.0.16:5556,C,0.00047397613525390625
10.0.0.1:5556,C,0.0005886554718017578
10.0.0.11:5556,B,0.01686835289001465
10.0.0.21:5556,B,0.017999887466430664
10.0.0.16:5556,B,0.013425827026367188
10.0.0.1:5556,B,0.0015757083892822266
10.0.0.21:5556,C,0.01081228256225586
10.0.0.11:5556,C,0.011322736740112305
10.0.0.16:5556,C,0.0033931732177734375
10.0.0.1:5556,C,0.00029969215393066406
10.0.0.21:5556,B,0.000705718994140625
10.0.0.11:5556,B,0.0012836456298828125
10.0.0.16:5556,B,0.0005052089691162109
10.0.0.1:5556,B,0.00033545494079589844
10.0.0.21:5556,C,0.0005261898040771484
10.0.0.11:5556,C,0.0009095668792724609
10.0.0.16:5556,C,0.00029921531677246094
10.0.0.1:5556,C,0.0002651214599609375
10.0.0.21:5556,B,0.0006058216094970703
10.0.0.11:5556,B,0.001192331314086914
10.0.0.16:5556,B,0.00028443336486816406
10.0.0.1:5556,B,0.0002689361572265625
10.0.0.21:5556,C,0.0006415843963623047
10.0.0.11:5556,C,0.0011413097381591797
10.0.0.16:5556,C,0.00030803680419921875
10.0.0.1:5556,C,0.00029659271240234375
10.0.0.21:5556,B,0.0007159709930419922
10.0.0.11:5556,B,0.0012202262878417969
10.0.0.16:5556,B,0.000316619873046875
10.0.0.1:5556,B,0.00028967857360839844
10.0.0.21:5556,C,0.0004298686981201172
10.0.0.11:5556,C,0.0008292198181152344
10.0.0.16:5556,C,0.00027108192443847656
10.0.0.1:5556,C,0.0003590583801269531
10.0.0.21:5556,B,0.0005207061767578125
10.0.0.11:5556,B,0.0011601448059082031
10.0.0.16:5556,B,0.00027060508728027344
10.0.0.1:5556,B,0.00036072731018066406
10.0.0.21:5556,C,0.0006654262542724609
10.0.0.11:5556,C,0.0011975765228271484
10.0.0.16:5556,C,0.00029778480529785156
10.0.0.1:5556,C,0.0002944469451904297
10.0.0.21:5556,B,0.0006630420684814453
10.0.0.11:5556,B,0.0012140274047851562
10.0.0.16:5556,B,0.0003726482391357422
10.0.0.1:5556,B,0.00029754638671875
