publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.0010828971862792969
10.0.0.11:5556,C,0.0006303787231445312
10.0.0.16:5556,C,0.000827789306640625
10.0.0.1:5556,C,0.0010800361633300781
10.0.0.11:5556,B,0.017519474029541016
10.0.0.21:5556,B,0.01837444305419922
10.0.0.16:5556,B,0.013839006423950195
10.0.0.1:5556,B,0.002069711685180664
10.0.0.21:5556,C,0.011439800262451172
10.0.0.11:5556,C,0.011706829071044922
10.0.0.16:5556,C,0.003766298294067383
10.0.0.1:5556,C,0.0006744861602783203
10.0.0.21:5556,B,0.001325368881225586
10.0.0.11:5556,B,0.0016918182373046875
10.0.0.16:5556,B,0.0011556148529052734
10.0.0.1:5556,B,0.0007596015930175781
10.0.0.21:5556,C,0.0009243488311767578
10.0.0.11:5556,C,0.0012667179107666016
10.0.0.16:5556,C,0.0006656646728515625
10.0.0.1:5556,C,0.00063323974609375
10.0.0.21:5556,B,0.001188039779663086
10.0.0.11:5556,B,0.0015499591827392578
10.0.0.16:5556,B,0.0006651878356933594
10.0.0.1:5556,B,0.0006692409515380859
10.0.0.21:5556,C,0.00118255615234375
10.0.0.11:5556,C,0.0015146732330322266
10.0.0.16:5556,C,0.0007088184356689453
10.0.0.1:5556,C,0.0006744861602783203
10.0.0.21:5556,B,0.0013053417205810547
10.0.0.11:5556,B,0.0015864372253417969
10.0.0.16:5556,B,0.0006840229034423828
10.0.0.1:5556,B,0.0006575584411621094
10.0.0.21:5556,C,0.0008094310760498047
10.0.0.11:5556,C,0.0011894702911376953
10.0.0.16:5556,C,0.0006363391876220703
10.0.0.1:5556,C,0.0007350444793701172
10.0.0.21:5556,B,0.0011136531829833984
10.0.0.11:5556,B,0.0015337467193603516
10.0.0.16:5556,B,0.0006437301635742188
10.0.0.1:5556,B,0.0008203983306884766
10.0.0.21:5556,C,0.0012450218200683594
10.0.0.11:5556,C,0.0015654563903808594
10.0.0.16:5556,C,0.0006656646728515625
10.0.0.1:5556,C,0.0006716251373291016
10.0.0.21:5556,B,0.0012536048889160156
10.0.0.11:5556,B,0.0015778541564941406
10.0.0.16:5556,B,0.0007450580596923828
10.0.0.1:5556,B,0.0008082389831542969
10.0.0.21:5556,C,0.0010225772857666016
10.0.0.11:5556,C,0.0015463829040527344
