publisher,topic,total_time_seconds
10.0.0.21:5556,C,0.0008871555328369141
10.0.0.11:5556,C,0.0003495216369628906
10.0.0.16:5556,C,0.0007109642028808594
10.0.0.1:5556,C,0.0008916854858398438
10.0.0.11:5556,B,0.0172879695892334
10.0.0.21:5556,B,0.018253803253173828
10.0.0.16:5556,B,0.013701677322387695
10.0.0.1:5556,B,0.001905679702758789
10.0.0.21:5556,C,0.01123356819152832
10.0.0.11:5556,C,0.011578798294067383
10.0.0.16:5556,C,0.003642559051513672
10.0.0.1:5556,C,0.00054931640625
10.0.0.21:5556,B,0.0011200904846191406
10.0.0.11:5556,B,0.0015370845794677734
10.0.0.16:5556,B,0.0009467601776123047
10.0.0.1:5556,B,0.0006213188171386719
10.0.0.21:5556,C,0.0007929801940917969
10.0.0.11:5556,C,0.0011475086212158203
10.0.0.16:5556,C,0.0005440711975097656
10.0.0.1:5556,C,0.0005123615264892578
10.0.0.21:5556,B,0.0009963512420654297
10.0.0.11:5556,B,0.0014324188232421875
10.0.0.16:5556,B,0.0005390644073486328
10.0.0.1:5556,B,0.0005481243133544922
10.0.0.21:5556,C,0.0010037422180175781
10.0.0.11:5556,C,0.0013904571533203125
10.0.0.16:5556,C,0.0005757808685302734
10.0.0.1:5556,C,0.0005502700805664062
10.0.0.21:5556,B,0.0011086463928222656
10.0.0.11:5556,B,0.0014650821685791016
10.0.0.16:5556,B,0.0005648136138916016
10.0.0.1:5556,B,0.0005359649658203125
10.0.0.21:5556,C,0.0006840229034423828
10.0.0.11:5556,C,0.001069784164428711
10.0.0.16:5556,C,0.0005156993865966797
10.0.0.1:5556,C,0.0006110668182373047
10.0.0.21:5556,B,0.0009176731109619141
10.0.0.11:5556,B,0.00141143798828125
10.0.0.16:5556,B,0.0005204677581787109
10.0.0.1:5556,B,0.0006663799285888672
10.0.0.21:5556,C,0.0010542869567871094
10.0.0.11:5556,C,0.0014443397521972656
10.0.0.16:5556,C,0.0005433559417724609
10.0.0.1:5556,C,0.0005474090576171875
10.0.0.21:5556,B,0.0010552406311035156
10.0.0.11:5556,B,0.0014574527740478516
10.0.0.16:5556,B,0.0006229877471923828
10.0.0.1:5556,B,0.0006842613220214844
10.0.0.21:5556,C,0.0008342266082763672
10.0.0.11:5556,C,0.001249551773071289
