publisher,topic,total_time_seconds
10.0.0.26:5556,C,0.0005848407745361328
10.0.0.1:5556,C,0.00030159950256347656
10.0.0.16:5556,B,0.0010418891906738281
10.0.0.11:5556,B,0.0008814334869384766
10.0.0.8:5556,B,0.0006930828094482422
10.0.0.26:5556,B,0.0002875328063964844
10.0.0.21:5556,B,0.00046443939208984375
10.0.0.16:5556,C,0.0017561912536621094
10.0.0.11:5556,C,0.001520395278930664
10.0.0.1:5556,B,0.0009281635284423828
10.0.0.8:5556,C,0.00074005126953125
10.0.0.26:5556,C,0.0005879402160644531
10.0.0.21:5556,C,0.0004527568817138672
10.0.0.1:5556,C,0.0008828639984130859
10.0.0.16:5556,B,0.0007610321044921875
10.0.0.11:5556,B,0.0004429817199707031
10.0.0.8:5556,B,0.0012786388397216797
10.0.0.21:5556,B,0.002282381057739258
10.0.0.26:5556,B,0.0018448829650878906
10.0.0.11:5556,C,0.0021245479583740234
10.0.0.16:5556,C,0.001676797866821289
10.0.0.8:5556,C,0.0005338191986083984
10.0.0.1:5556,B,0.0007824897766113281
10.0.0.21:5556,C,0.0009429454803466797
10.0.0.26:5556,C,0.0007982254028320312
10.0.0.1:5556,C,0.0011327266693115234
10.0.0.11:5556,B,0.0012443065643310547
10.0.0.16:5556,B,0.001596212387084961
10.0.0.8:5556,B,0.00070953369140625
10.0.0.21:5556,B,0.0006802082061767578
10.0.0.26:5556,B,0.0007646083831787109
10.0.0.11:5556,C,0.0010979175567626953
10.0.0.16:5556,C,0.0013134479522705078
10.0.0.8:5556,C,0.0009107589721679688
10.0.0.1:5556,B,0.0005609989166259766
10.0.0.21:5556,C,0.0012078285217285156
10.0.0.26:5556,C,0.0008630752563476562
10.0.0.1:5556,C,0.0006453990936279297
10.0.0.11:5556,B,0.00048613548278808594
10.0.0.16:5556,B,0.0009493827819824219
10.0.0.8:5556,B,0.0008161067962646484
10.0.0.21:5556,B,0.0006074905395507812
10.0.0.26:5556,B,0.00026297569274902344
10.0.0.11:5556,C,0.0006654262542724609
10.0.0.16:5556,C,0.0003457069396972656
10.0.0.8:5556,C,0.0006201267242431641
10.0.0.1:5556,B,0.000278472900390625
10.0.0.21:5556,C,0.0004987716674804688
10.0.0.26:5556,C,0.0002567768096923828
