publisher,topic,total_time_seconds
10.0.0.26:5556,B,0.00045180320739746094
10.0.0.21:5556,B,0.0005691051483154297
10.0.0.16:5556,C,0.0021257400512695312
10.0.0.11:5556,C,0.0018742084503173828
10.0.0.1:5556,B,0.0015609264373779297
10.0.0.8:5556,C,0.0013704299926757812
10.0.0.21:5556,C,0.0005655288696289062
10.0.0.26:5556,C,0.0008308887481689453
10.0.0.1:5556,C,0.0013699531555175781
10.0.0.16:5556,B,0.001863241195678711
10.0.0.11:5556,B,0.0015349388122558594
10.0.0.8:5556,B,0.001619577407836914
10.0.0.21:5556,B,0.0014269351959228516
10.0.0.26:5556,B,0.001032114028930664
10.0.0.11:5556,C,0.0017673969268798828
10.0.0.16:5556,C,0.0014216899871826172
10.0.0.8:5556,C,0.001405477523803711
10.0.0.1:5556,B,0.0012900829315185547
10.0.0.21:5556,C,0.0014100074768066406
10.0.0.26:5556,C,0.0009613037109375
10.0.0.1:5556,C,0.0014073848724365234
10.0.0.11:5556,B,0.0014178752899169922
10.0.0.16:5556,B,0.0016684532165527344
10.0.0.8:5556,B,0.00083160400390625
10.0.0.21:5556,B,0.0007987022399902344
10.0.0.26:5556,B,0.0008838176727294922
10.0.0.11:5556,C,0.001252889633178711
10.0.0.16:5556,C,0.0014286041259765625
10.0.0.8:5556,C,0.0012171268463134766
10.0.0.1:5556,B,0.0007498264312744141
10.0.0.21:5556,C,0.002152681350708008
10.0.0.26:5556,C,0.0005300045013427734
10.0.0.1:5556,C,0.0002853870391845703
10.0.0.11:5556,B,0.00027632713317871094
10.0.0.16:5556,B,0.00028252601623535156
10.0.0.8:5556,B,0.0009920597076416016
10.0.0.21:5556,B,0.0004878044128417969
10.0.0.26:5556,B,0.0004532337188720703
10.0.0.11:5556,C,0.0008101463317871094
10.0.0.16:5556,C,0.0004620552062988281
10.0.0.8:5556,C,0.0004405975341796875
10.0.0.1:5556,B,0.0004897117614746094
10.0.0.21:5556,C,0.0007567405700683594
10.0.0.26:5556,C,0.0010342597961425781
10.0.0.1:5556,C,0.0008640289306640625
10.0.0.11:5556,B,0.00031757354736328125
10.0.0.16:5556,B,0.0002872943878173828
10.0.0.8:5556,B,0.0002734661102294922
10.0.0.21:5556,B,0.0004286766052246094
10.0.0.26:5556,B,0.0006945133209228516
