publisher,topic,total_time_seconds
10.0.0.1:5556,C,0.0005450248718261719
10.0.0.16:5556,B,0.002190113067626953
10.0.0.11:5556,B,0.0019178390502929688
10.0.0.8:5556,B,0.0022323131561279297
10.0.0.21:5556,B,0.0026535987854003906
10.0.0.26:5556,B,0.0022971630096435547
10.0.0.11:5556,C,0.002693653106689453
10.0.0.16:5556,C,0.0022890567779541016
10.0.0.1:5556,B,0.0004000663757324219
10.0.0.8:5556,C,0.003189563751220703
10.0.0.21:5556,C,0.0019769668579101562
10.0.0.26:5556,C,0.0013387203216552734
10.0.0.1:5556,C,0.0008544921875
10.0.0.11:5556,B,0.0006933212280273438
10.0.0.16:5556,B,0.0009744167327880859
10.0.0.8:5556,B,0.0002849102020263672
10.0.0.21:5556,B,0.00027370452880859375
10.0.0.26:5556,B,0.00029730796813964844
10.0.0.11:5556,C,0.0008065700531005859
10.0.0.16:5556,C,0.0010437965393066406
10.0.0.8:5556,C,0.00041413307189941406
10.0.0.1:5556,B,0.0002739429473876953
10.0.0.21:5556,C,0.0005466938018798828
10.0.0.26:5556,C,0.0009732246398925781
10.0.0.1:5556,C,0.0007596015930175781
10.0.0.11:5556,B,0.0006890296936035156
10.0.0.16:5556,B,0.0011472702026367188
10.0.0.8:5556,B,0.0006377696990966797
10.0.0.21:5556,B,0.0007250308990478516
10.0.0.26:5556,B,0.00035858154296875
10.0.0.11:5556,C,0.0003609657287597656
10.0.0.16:5556,C,0.0006875991821289062
10.0.0.8:5556,C,0.0009665489196777344
10.0.0.1:5556,B,0.000591278076171875
10.0.0.21:5556,C,0.0006289482116699219
10.0.0.26:5556,C,0.0009319782257080078
10.0.0.1:5556,C,0.0005669593811035156
10.0.0.11:5556,B,0.00045800209045410156
10.0.0.16:5556,B,0.000385284423828125
10.0.0.8:5556,B,0.00039315223693847656
10.0.0.21:5556,B,0.0006389617919921875
10.0.0.26:5556,B,0.0004343986511230469
10.0.0.11:5556,C,0.0006034374237060547
10.0.0.16:5556,C,0.0003559589385986328
10.0.0.8:5556,C,0.0006442070007324219
10.0.0.1:5556,B,0.00030684471130371094
10.0.0.21:5556,C,0.0004730224609375
10.0.0.26:5556,C,0.00045228004455566406
10.0.0.1:5556,C,0.0005598068237304688
