publisher,topic,total_time_seconds
10.0.0.11:5556,B,0.0004382133483886719
10.0.0.11:5556,C,0.0005681514739990234
10.0.0.16:5556,C,0.0008637905120849609
10.0.0.8:5556,C,0.001560211181640625
10.0.0.26:5556,C,0.0014336109161376953
10.0.0.21:5556,C,0.0012850761413574219
10.0.0.11:5556,B,0.0005860328674316406
10.0.0.16:5556,B,0.0008862018585205078
10.0.0.8:5556,B,0.0005300045013427734
10.0.0.26:5556,B,0.0006837844848632812
10.0.0.21:5556,B,0.00035858154296875
10.0.0.16:5556,C,0.0006852149963378906
10.0.0.11:5556,C,0.0004324913024902344
10.0.0.1:5556,B,0.0013501644134521484
10.0.0.8:5556,C,0.0011577606201171875
10.0.0.26:5556,C,0.0011019706726074219
10.0.0.21:5556,C,0.0009553432464599609
10.0.0.1:5556,C,0.001209259033203125
10.0.0.16:5556,B,0.0010478496551513672
10.0.0.11:5556,B,0.0007562637329101562
10.0.0.8:5556,B,0.001982450485229492
10.0.0.21:5556,B,0.0017304420471191406
10.0.0.26:5556,B,0.0012695789337158203
10.0.0.11:5556,C,0.0014121532440185547
10.0.0.16:5556,C,0.0010182857513427734
10.0.0.8:5556,C,0.0011920928955078125
10.0.0.1:5556,B,0.0010280609130859375
10.0.0.21:5556,C,0.0011954307556152344
10.0.0.26:5556,C,0.0007207393646240234
10.0.0.1:5556,C,0.001247406005859375
10.0.0.11:5556,B,0.0013036727905273438
10.0.0.16:5556,B,0.0015225410461425781
10.0.0.8:5556,B,0.0006563663482666016
10.0.0.21:5556,B,0.0006248950958251953
10.0.0.26:5556,B,0.0007045269012451172
10.0.0.11:5556,C,0.0010433197021484375
10.0.0.16:5556,C,0.0012247562408447266
10.0.0.8:5556,C,0.0007481575012207031
10.0.0.1:5556,B,0.0003705024719238281
10.0.0.21:5556,C,0.0007824897766113281
10.0.0.26:5556,C,0.0007534027099609375
10.0.0.1:5556,C,0.0005297660827636719
10.0.0.11:5556,B,0.0003829002380371094
10.0.0.16:5556,B,0.0003783702850341797
