,publisher,topic,total_time_seconds,type,setup
38,10.0.0.16,B,0.3964900970458984,centralized,four_pub_four_sub
39,10.0.0.1,B,0.5137920379638672,centralized,four_pub_four_sub
40,10.0.0.21,C,0.8630752563476562,centralized,four_pub_four_sub
41,10.0.0.11,C,1.322031021118164,centralized,four_pub_four_sub
42,10.0.0.16,C,0.4220008850097656,centralized,four_pub_four_sub
43,10.0.0.1,C,0.4215240478515625,centralized,four_pub_four_sub
44,10.0.0.21,B,0.8623600006103517,centralized,four_pub_four_sub
45,10.0.0.11,B,1.3380050659179688,centralized,four_pub_four_sub
46,10.0.0.16,B,0.4985332489013672,centralized,four_pub_four_sub
47,10.0.0.1,B,0.5595684051513672,centralized,four_pub_four_sub
48,10.0.0.21,C,0.6475448608398438,centralized,four_pub_four_sub
49,10.0.0.11,C,0.9899139404296877,centralized,four_pub_four_sub
0,10.0.0.21,C,1.0828971862792967,centralized,four_pub_four_sub
1,10.0.0.11,C,0.6303787231445312,centralized,four_pub_four_sub
2,10.0.0.16,C,0.827789306640625,centralized,four_pub_four_sub
3,10.0.0.1,C,1.080036163330078,centralized,four_pub_four_sub
4,10.0.0.11,B,17.519474029541016,centralized,four_pub_four_sub
5,10.0.0.21,B,18.37444305419922,centralized,four_pub_four_sub
6,10.0.0.16,B,13.839006423950195,centralized,four_pub_four_sub
7,10.0.0.1,B,2.069711685180664,centralized,four_pub_four_sub
8,10.0.0.21,C,11.439800262451172,centralized,four_pub_four_sub
9,10.0.0.11,C,11.706829071044922,centralized,four_pub_four_sub
10,10.0.0.16,C,3.766298294067383,centralized,four_pub_four_sub
11,10.0.0.1,C,0.6744861602783202,centralized,four_pub_four_sub
12,10.0.0.21,B,1.325368881225586,centralized,four_pub_four_sub
13,10.0.0.11,B,1.6918182373046875,centralized,four_pub_four_sub
14,10.0.0.16,B,1.1556148529052734,centralized,four_pub_four_sub
15,10.0.0.1,B,0.7596015930175781,centralized,four_pub_four_sub
16,10.0.0.21,C,0.9243488311767578,centralized,four_pub_four_sub
17,10.0.0.11,C,1.2667179107666016,centralized,four_pub_four_sub
18,10.0.0.16,C,0.6656646728515625,centralized,four_pub_four_sub
19,10.0.0.1,C,0.63323974609375,centralized,four_pub_four_sub
20,10.0.0.21,B,1.188039779663086,centralized,four_pub_four_sub
21,10.0.0.11,B,1.5499591827392578,centralized,four_pub_four_sub
22,10.0.0.16,B,0.6651878356933594,centralized,four_pub_four_sub
23,10.0.0.1,B,0.6692409515380858,centralized,four_pub_four_sub
24,10.0.0.21,C,1.18255615234375,centralized,four_pub_four_sub
25,10.0.0.11,C,1.5146732330322266,centralized,four_pub_four_sub
26,10.0.0.16,C,0.7088184356689452,centralized,four_pub_four_sub
27,10.0.0.1,C,0.6744861602783202,centralized,four_pub_four_sub
28,10.0.0.21,B,1.3053417205810547,centralized,four_pub_four_sub
29,10.0.0.11,B,1.5864372253417967,centralized,four_pub_four_sub
30,10.0.0.16,B,0.6840229034423827,centralized,four_pub_four_sub
31,10.0.0.1,B,0.6575584411621094,centralized,four_pub_four_sub
32,10.0.0.21,C,0.8094310760498048,centralized,four_pub_four_sub
33,10.0.0.11,C,1.1894702911376953,centralized,four_pub_four_sub
34,10.0.0.16,C,0.6363391876220702,centralized,four_pub_four_sub
35,10.0.0.1,C,0.7350444793701173,centralized,four_pub_four_sub
36,10.0.0.21,B,1.1136531829833984,centralized,four_pub_four_sub
37,10.0.0.11,B,1.5337467193603516,centralized,four_pub_four_sub
38,10.0.0.16,B,0.6437301635742188,centralized,four_pub_four_sub
39,10.0.0.1,B,0.8203983306884767,centralized,four_pub_four_sub
40,10.0.0.21,C,1.2450218200683596,centralized,four_pub_four_sub
41,10.0.0.11,C,1.5654563903808596,centralized,four_pub_four_sub
42,10.0.0.16,C,0.6656646728515625,centralized,four_pub_four_sub
43,10.0.0.1,C,0.6716251373291017,centralized,four_pub_four_sub
44,10.0.0.21,B,1.2536048889160154,centralized,four_pub_four_sub
45,10.0.0.11,B,1.5778541564941404,centralized,four_pub_four_sub
46,10.0.0.16,B,0.7450580596923827,centralized,four_pub_four_sub
47,10.0.0.1,B,0.8082389831542969,centralized,four_pub_four_sub
48,10.0.0.21,C,1.0225772857666016,centralized,four_pub_four_sub
49,10.0.0.11,C,1.5463829040527346,centralized,four_pub_four_sub
0,10.0.0.21,C,0.8871555328369141,centralized,four_pub_four_sub
1,10.0.0.11,C,0.3495216369628906,centralized,four_pub_four_sub
2,10.0.0.16,C,0.7109642028808594,centralized,four_pub_four_sub
3,10.0.0.1,C,0.8916854858398438,centralized,four_pub_four_sub
4,10.0.0.11,B,17.2879695892334,centralized,four_pub_four_sub
5,10.0.0.21,B,18.253803253173828,centralized,four_pub_four_sub
6,10.0.0.16,B,13.701677322387695,centralized,four_pub_four_sub
7,10.0.0.1,B,1.905679702758789,centralized,four_pub_four_sub
8,10.0.0.21,C,11.23356819152832,centralized,four_pub_four_sub
9,10.0.0.11,C,11.578798294067385,centralized,four_pub_four_sub
10,10.0.0.16,C,3.642559051513672,centralized,four_pub_four_sub
11,10.0.0.1,C,0.54931640625,centralized,four_pub_four_sub
12,10.0.0.21,B,1.1200904846191406,centralized,four_pub_four_sub
13,10.0.0.11,B,1.5370845794677734,centralized,four_pub_four_sub
14,10.0.0.16,B,0.9467601776123047,centralized,four_pub_four_sub
15,10.0.0.1,B,0.6213188171386719,centralized,four_pub_four_sub
16,10.0.0.21,C,0.7929801940917969,centralized,four_pub_four_sub
17,10.0.0.11,C,1.1475086212158205,centralized,four_pub_four_sub
18,10.0.0.16,C,0.5440711975097656,centralized,four_pub_four_sub
19,10.0.0.1,C,0.5123615264892578,centralized,four_pub_four_sub
20,10.0.0.21,B,0.9963512420654297,centralized,four_pub_four_sub
21,10.0.0.11,B,1.4324188232421875,centralized,four_pub_four_sub
22,10.0.0.16,B,0.5390644073486328,centralized,four_pub_four_sub
23,10.0.0.1,B,0.5481243133544922,centralized,four_pub_four_sub
24,10.0.0.21,C,1.003742218017578,centralized,four_pub_four_sub
25,10.0.0.11,C,1.3904571533203125,centralized,four_pub_four_sub
26,10.0.0.16,C,0.5757808685302733,centralized,four_pub_four_sub
27,10.0.0.1,C,0.5502700805664061,centralized,four_pub_four_sub
28,10.0.0.21,B,1.1086463928222656,centralized,four_pub_four_sub
29,10.0.0.11,B,1.4650821685791016,centralized,four_pub_four_sub
30,10.0.0.16,B,0.5648136138916017,centralized,four_pub_four_sub
31,10.0.0.1,B,0.5359649658203125,centralized,four_pub_four_sub
32,10.0.0.21,C,0.6840229034423827,centralized,four_pub_four_sub
33,10.0.0.11,C,1.069784164428711,centralized,four_pub_four_sub
34,10.0.0.16,C,0.5156993865966797,centralized,four_pub_four_sub
35,10.0.0.1,C,0.6110668182373048,centralized,four_pub_four_sub
36,10.0.0.21,B,0.9176731109619141,centralized,four_pub_four_sub
37,10.0.0.11,B,1.41143798828125,centralized,four_pub_four_sub
38,10.0.0.16,B,0.5204677581787108,centralized,four_pub_four_sub
39,10.0.0.1,B,0.6663799285888673,centralized,four_pub_four_sub
40,10.0.0.21,C,1.0542869567871094,centralized,four_pub_four_sub
41,10.0.0.11,C,1.4443397521972654,centralized,four_pub_four_sub
42,10.0.0.16,C,0.5433559417724608,centralized,four_pub_four_sub
43,10.0.0.1,C,0.5474090576171875,centralized,four_pub_four_sub
44,10.0.0.21,B,1.0552406311035156,centralized,four_pub_four_sub
45,10.0.0.11,B,1.4574527740478516,centralized,four_pub_four_sub
46,10.0.0.16,B,0.6229877471923827,centralized,four_pub_four_sub
47,10.0.0.1,B,0.6842613220214844,centralized,four_pub_four_sub
48,10.0.0.21,C,0.8342266082763673,centralized,four_pub_four_sub
49,10.0.0.11,C,1.249551773071289,centralized,four_pub_four_sub
0,10.0.0.16,B,0.4460811614990233,direct,four_pub_four_sub
1,10.0.0.11,C,0.33164024353027344,direct,four_pub_four_sub
2,10.0.0.16,C,0.3867149353027344,direct,four_pub_four_sub
3,10.0.0.21,C,0.4639625549316406,direct,four_pub_four_sub
4,10.0.0.1,C,0.5509853363037108,direct,four_pub_four_sub
5,10.0.0.11,B,0.4198551177978516,direct,four_pub_four_sub
6,10.0.0.16,B,0.4017353057861328,direct,four_pub_four_sub
7,10.0.0.21,B,0.5710124969482423,direct,four_pub_four_sub
8,10.0.0.11,C,0.4198551177978516,direct,four_pub_four_sub
9,10.0.0.16,C,0.3199577331542969,direct,four_pub_four_sub
10,10.0.0.1,B,0.5424022674560547,direct,four_pub_four_sub
11,10.0.0.21,C,0.8285045623779298,direct,four_pub_four_sub
12,10.0.0.1,C,1.338958740234375,direct,four_pub_four_sub
13,10.0.0.11,B,0.5519390106201172,direct,four_pub_four_sub
14,10.0.0.16,B,0.5397796630859375,direct,four_pub_four_sub
15,10.0.0.21,B,0.8847713470458984,direct,four_pub_four_sub
16,10.0.0.11,C,0.4737377166748047,direct,four_pub_four_sub
17,10.0.0.16,C,0.7770061492919923,direct,four_pub_four_sub
18,10.0.0.1,B,0.6430149078369142,direct,four_pub_four_sub
19,10.0.0.21,C,0.5083084106445311,direct,four_pub_four_sub
20,10.0.0.1,C,0.823974609375,direct,four_pub_four_sub
21,10.0.0.11,B,0.5125999450683594,direct,four_pub_four_sub
22,10.0.0.16,B,0.7195472717285156,direct,four_pub_four_sub
23,10.0.0.21,B,0.6008148193359375,direct,four_pub_four_sub
24,10.0.0.11,C,0.8726119995117188,direct,four_pub_four_sub
25,10.0.0.16,C,0.8230209350585938,direct,four_pub_four_sub
26,10.0.0.1,B,1.1744499206542967,direct,four_pub_four_sub
27,10.0.0.21,C,0.9148120880126953,direct,four_pub_four_sub
28,10.0.0.1,C,1.0306835174560547,direct,four_pub_four_sub
29,10.0.0.11,B,0.9210109710693359,direct,four_pub_four_sub
30,10.0.0.16,B,0.9765625,direct,four_pub_four_sub
31,10.0.0.21,B,1.2600421905517578,direct,four_pub_four_sub
32,10.0.0.11,C,0.9148120880126953,direct,four_pub_four_sub
33,10.0.0.16,C,0.4460811614990233,direct,four_pub_four_sub
34,10.0.0.1,B,0.9222030639648438,direct,four_pub_four_sub
35,10.0.0.21,C,0.9005069732666016,direct,four_pub_four_sub
36,10.0.0.1,C,0.5168914794921875,direct,four_pub_four_sub
37,10.0.0.11,B,1.0590553283691406,direct,four_pub_four_sub
